ID_Date,ID_Place,ID_Mag,mag,depth,dmin
Date_0001,Place_0001,mb,4.1,73.49,51.374
Date_0002,Place_0002,mb,4.1,96.34,93.742
Date_0003,Place_0003,mb,4.6,238.14,189.707
Date_0004,Place_0004,mwr,4.9,102.07,4.226
Date_0005,Place_0005,mb,4.1,10.0,153.345
Date_0006,Place_0006,mb,4.3,127.15,112.09
Date_0007,Place_0007,mb,4.3,202.12,154.679
Date_0008,Place_0008,mb,4.2,113.5,83.845
Date_0009,Place_0009,mb,4.5,109.05,67.721
Date_0010,Place_0010,mb,4.4,123.48,42.034
Date_0011,Place_0011,mb,4.5,167.09,151.121
Date_0012,Place_0012,mwr,4.7,110.4,81.065
Date_0013,Place_0013,mb,4.5,10.0,217.062
Date_0014,Place_0014,mb,4.3,157.62,43.924
Date_0015,Place_0015,mwr,4.5,52.54,72.614
Date_0016,Place_0016,mb,4.2,212.5,167.801
Date_0017,Place_0017,mb,4.1,227.68,159.906
Date_0018,Place_0018,ml,2.7,34.05,9.452
Date_0019,Place_0019,ml,4.1,35.0,42.923
Date_0020,Place_0020,mb,4.6,25.23,42.256
Date_0021,Place_0021,mb,4.1,241.45,159.016
Date_0022,Place_0022,mb,4.5,41.39,25.576
Date_0023,Place_0023,mwr,4.4,181.49,191.042
Date_0024,Place_0024,mb,4.2,253.91,192.71
Date_0025,Place_0025,mb,4.2,110.01,10.008
Date_0026,Place_0026,mwr,4.7,36.76,59.603
Date_0027,Place_0027,mwr,4.4,107.33,123.654
Date_0028,Place_0028,mb,4.3,10.0,70.278
Date_0029,Place_0029,mb,4.4,187.87,183.702
Date_0030,Place_0030,ml,2.8,43.73,40.81
Date_0031,Place_0031,mb,4.3,10.0,127.324
Date_0032,Place_0032,mb,4.6,10.0,317.921
Date_0033,Place_0033,mb,4.6,125.51,58.825
Date_0034,Place_0034,mb,4.5,111.51,44.258
Date_0035,Place_0035,mb,4.0,113.32,47.371
Date_0036,Place_0036,mb,4.1,136.47,79.619
Date_0037,Place_0037,mb,4.2,225.41,168.357
Date_0038,Place_0038,mwr,3.7,36.28,70.612
Date_0039,Place_0039,mwr,4.1,10.0,171.804
Date_0040,Place_0040,mb,4.2,105.61,68.499
Date_0041,Place_0041,mwr,5.5,17.79,71.168
Date_0042,Place_0042,mb,4.1,242.48,127.88
Date_0043,Place_0043,mb,3.9,267.24,184.814
Date_0044,Place_0044,mb,4.5,116.52,238.635
Date_0045,Place_0045,mb,4.3,223.02,149.119
Date_0046,Place_0046,mb,4.3,250.39,203.051
Date_0047,Place_0047,mb,4.4,26.7,33.694
Date_0048,Place_0048,mb,4.1,116.34,45.481
Date_0049,Place_0049,mww,5.7,45.0,43.702
Date_0050,Place_0050,mwr,4.3,163.92,164.576
Date_0051,Place_0051,mb,4.1,10.0,111.2
Date_0052,Place_0052,mb,4.6,192.51,153.901
Date_0053,Place_0053,mb,4.6,95.98,84.623
Date_0054,Place_0054,mb,4.0,112.11,32.026
Date_0055,Place_0055,mwr,4.3,35.0,61.494
Date_0056,Place_0056,mb,4.5,35.0,83.734
Date_0057,Place_0057,mb,5.0,151.1,280.558
Date_0058,Place_0058,mww,5.6,17.71,79.174
Date_0059,Place_0059,mb,4.8,209.49,220.954
Date_0060,Place_0060,mb,4.3,122.25,47.927
Date_0061,Place_0061,mww,5.1,95.32,163.019
Date_0062,Place_0062,mb,4.2,199.88,173.138
Date_0063,Place_0063,mb,4.4,45.72,56.823
Date_0064,Place_0064,mb,4.1,18.84,143.559
Date_0065,Place_0065,mb,4.4,234.61,217.952
Date_0066,Place_0066,mwr,4.5,166.51,139.445
Date_0067,Place_0067,mb,4.4,118.87,86.625
Date_0068,Place_0068,mb,4.4,172.88,292.79
Date_0069,Place_0069,mwr,4.7,118.95,44.035
Date_0070,Place_0070,mb,4.3,211.66,133.996
Date_0071,Place_0071,mb,4.2,200.06,188.15
Date_0072,Place_0072,mb,4.2,230.42,151.01
Date_0073,Place_0073,mb,4.5,16.0,136.776
Date_0074,Place_0074,mww,5.1,15.68,134.886
Date_0075,Place_0075,mb,4.2,114.75,87.959
Date_0076,Place_0076,mb,4.3,89.33,27.466
Date_0077,Place_0077,ml,2.6,46.39,26.577
Date_0078,Place_0078,mwr,4.0,21.1,75.95
Date_0079,Place_0079,mb,4.2,30.9,116.649
Date_0080,Place_0080,mwr,4.8,33.06,41.589
Date_0081,Place_0081,mb,4.1,131.33,37.586
Date_0082,Place_0082,mwr,4.4,21.82,116.76
Date_0083,Place_0083,mwr,4.6,26.4,118.873
Date_0084,Place_0084,mb,4.7,171.92,183.258
Date_0085,Place_0085,mb,4.4,125.31,100.08
Date_0086,Place_0086,mb,4.0,199.47,189.04
Date_0087,Place_0087,mb,4.0,112.84,34.472
Date_0088,Place_0088,mwr,4.6,95.1,48.038
Date_0089,Place_0089,mwr,4.3,11.91,58.158
Date_0090,Place_0090,mb,4.4,44.05,55.6
Date_0091,Place_0091,mwr,4.5,111.93,63.384
Date_0092,Place_0092,mwr,4.3,173.56,188.818
Date_0093,Place_0093,mb,4.2,119.16,77.506
Date_0094,Place_0094,mb,4.4,10.0,127.324
Date_0095,Place_0095,mb,4.2,87.03,35.918
Date_0096,Place_0096,mb,4.2,132.28,98.078
Date_0097,Place_0097,mwr,4.7,30.23,47.482
Date_0098,Place_0098,mb,4.0,117.48,63.162
Date_0099,Place_0099,mb,4.5,205.76,189.818
Date_0100,Place_0100,mb,4.0,204.28,233.52
Date_0101,Place_0101,ml,3.1,39.26,36.696
Date_0102,Place_0102,mb,4.3,98.32,158.349
Date_0103,Place_0103,mwr,4.6,115.26,75.171
Date_0104,Place_0104,mwr,4.5,200.84,163.909
Date_0105,Place_0105,mb,4.2,90.45,32.026
Date_0106,Place_0106,mb,4.5,106.72,45.37
Date_0107,Place_0107,mb,4.1,88.46,76.172
Date_0108,Place_0108,mb,4.1,9.23,89.294
Date_0109,Place_0109,mb,4.3,118.89,94.742
Date_0110,Place_0110,mb,4.6,184.75,166.022
Date_0111,Place_0111,mwr,4.4,236.07,170.581
Date_0112,Place_0112,mb,4.5,203.32,161.351
Date_0113,Place_0113,mwr,4.5,15.29,103.082
Date_0114,Place_0114,mb,4.2,266.96,173.806
Date_0115,Place_0115,ml,3.9,41.85,22.351
Date_0116,Place_0116,mb,4.3,226.92,203.051
Date_0117,Place_0117,mb,4.3,10.0,163.13
Date_0118,Place_0118,mb,4.0,20.72,37.808
Date_0119,Place_0119,mb,4.5,191.72,169.358
Date_0120,Place_0120,mwr,4.3,61.36,40.032
Date_0121,Place_0121,mwr,4.3,89.16,145.227
Date_0122,Place_0122,mb,4.4,210.21,157.237
Date_0123,Place_0123,mb,4.0,102.43,19.015
Date_0124,Place_0124,mb,4.3,60.49,136.776
Date_0125,Place_0125,mb,4.2,97.08,28.356
Date_0126,Place_0126,mwr,4.7,10.0,164.242
Date_0127,Place_0127,mwr,4.6,77.64,43.034
Date_0128,Place_0128,ml,2.7,53.74,76.061
Date_0129,Place_0129,mb,4.1,130.63,6.116
Date_0130,Place_0130,mb,4.1,127.95,113.535
Date_0131,Place_0131,mb,4.4,88.77,57.935
Date_0132,Place_0132,mwr,4.5,41.55,55.489
Date_0133,Place_0133,mb,4.2,228.55,169.469
Date_0134,Place_0134,mwr,4.8,49.68,47.371
Date_0135,Place_0135,mb,4.0,274.09,206.943
Date_0136,Place_0136,mb,4.2,254.9,272.551
Date_0137,Place_0137,ml,4.0,11.68,77.951
Date_0138,Place_0138,mb,4.0,114.75,38.92
Date_0139,Place_0139,mb,4.2,114.36,49.15
Date_0140,Place_0140,mb,4.0,203.38,176.474
Date_0141,Place_0141,mb,4.1,12.6,99.524
Date_0142,Place_0142,mb,4.2,112.99,96.41
Date_0143,Place_0143,mb,4.2,137.63,91.184
Date_0144,Place_0144,mb,4.4,168.47,190.374
Date_0145,Place_0145,mb,4.3,10.0,543.323
Date_0146,Place_0146,mb,4.0,199.59,188.039
Date_0147,Place_0147,ml,4.3,27.12,47.705
Date_0148,Place_0148,mwr,4.0,10.0,314.696
Date_0149,Place_0149,mb,4.2,191.46,173.806
Date_0150,Place_0150,mb,4.2,118.24,18.237
Date_0151,Place_0151,mb,4.1,120.66,65.83
Date_0152,Place_0152,mwr,4.8,154.3,173.583
Date_0153,Place_0153,mwr,4.6,35.26,30.358
Date_0154,Place_0154,mwr,4.3,36.73,40.588
Date_0155,Place_0155,mb,4.3,106.67,58.602
Date_0156,Place_0156,mb,4.6,3.38,43.034
Date_0157,Place_0157,mb,3.8,41.31,31.136
Date_0158,Place_0158,mb,4.2,190.17,161.574
Date_0159,Place_0159,mb,4.2,10.0,428.342
Date_0160,Place_0160,mwr,4.2,20.36,60.048
Date_0161,Place_0161,mwr,4.2,19.86,107.419
Date_0162,Place_0162,mww,5.1,10.0,384.418
Date_0163,Place_0163,mb,4.7,10.0,388.088
Date_0164,Place_0164,mb,4.4,219.11,153.678
Date_0165,Place_0165,mwr,4.0,24.58,58.602
