ID_Place,country,city,latitude,longitude
Place_0001,Chile,Iquique,-19.3919,-69.9532
Place_0002,Chile,Antofagasta,-24.1668,-69.6267
Place_0003,Argentina,Abra Pampa,-22.7823,-66.3373
Place_0004,Chile,Iquique,-19.6455,-69.2265
Place_0005,Chile,Lebu,-37.7422,-74.3913
Place_0006,Chile,San Pedro de Atacama,-23.9537,-68.0164
Place_0007,Argentina,San Antonio de los Cobres,-24.0279,-67.2115
Place_0008,Chile,Calama,-21.1775,-68.6925
Place_0009,Argentina,Calingasta,-31.294,-69.3336
Place_0010,Chile,Rengo,-34.5327,-70.4468
Place_0011,Bolivia,Uyuni,-21.3265,-67.8704
Place_0012,Chile,Calama,-22.3226,-68.5827
Place_0013,Chile,Lebu,-37.7734,-75.2744
Place_0014,Peru,Palca,-17.758,-69.856
Place_0015,Chile,Antofagasta,-25.52,-70.3898
Place_0016,Argentina,San Antonio de los Cobres,-24.3337,-67.5005
Place_0017,Argentina,San Antonio de los Cobres,-24.0417,-67.1499
Place_0018,Chile,Iquique,-20.3371,-70.1886
Place_0019,Chile,La Serena,-29.5561,-71.3964
Place_0020,Chile,Coquimbo,-30.0282,-71.6587
Place_0021,Argentina,San Antonio de los Cobres,-23.5636,-66.7713
Place_0022,Chile,Ovalle,-30.7013,-71.3691
Place_0023,Argentina,San Antonio de los Cobres,-24.2102,-66.8965
Place_0024,Bolivia,Atocha,-21.5585,-67.0563
Place_0025,Chile,Vallenar,-28.9348,-70.7569
Place_0026,Chile,Tocopilla,-22.0559,-70.3315
Place_0027,Chile,Calama,-21.7512,-68.5642
Place_0028,Chile,Copiapó,-27.1996,-71.5656
Place_0029,Argentina,San Antonio de los Cobres,-24.0147,-66.7966
Place_0030,Chile,Iquique,-20.4536,-69.8066
Place_0031,Chile,Taltal,-24.5088,-71.1826
Place_0032,Chile,Quellón,-43.3594,-76.2935
Place_0033,Chile,Calama,-21.9821,-68.7075
Place_0034,Chile,Iquique,-20.7756,-69.1699
Place_0035,Chile,Monte Patria,-31.2192,-70.4613
Place_0036,Chile,Calama,-21.0936,-68.7218
Place_0037,Argentina,San Antonio de los Cobres,-24.0149,-66.9983
Place_0038,Chile,Vallenar,-28.6512,-71.589
Place_0039,Chile,Corral,-40.2514,-74.8312
Place_0040,Chile,Calama,-21.0794,-68.8281
Place_0041,Chile,Vallenar,-28.6861,-71.5555
Place_0042,Chile,San Pedro de Atacama,-23.9958,-67.6418
Place_0043,Argentina,Abra Pampa,-22.3707,-66.4918
Place_0044,Chile,Calama,-21.7237,-68.0631
Place_0045,Argentina,San Antonio de los Cobres,-23.834,-67.0752
Place_0046,Bolivia,Atocha,-21.6813,-66.7563
Place_0047,Chile,Coronel,-36.8833,-73.5292
Place_0048,Chile,Iquique,-20.9052,-69.0747
Place_0049,Chile,La Serena,-29.527,-71.2992
Place_0050,Argentina,San Antonio de los Cobres,-24.1974,-67.2966
Place_0051,Chile,Coquimbo,-30.3866,-72.7459
Place_0052,Argentina,San Antonio de los Cobres,-24.1048,-67.3348
Place_0053,Peru,Locumba,-17.6673,-70.6588
Place_0054,Argentina,Nueve de Julio,-31.8741,-68.3598
Place_0055,Chile,Arica,-18.667,-70.9087
Place_0056,Chile,Arica,-18.4913,-71.1254
Place_0057,Argentina,Andalgalá,-27.8819,-66.545
Place_0058,Chile,Arica,-18.5525,-71.0675
Place_0059,Bolivia,Atocha,-21.5815,-66.6175
Place_0060,Chile,Iquique,-20.3387,-68.7439
Place_0061,Chile,Taltal,-25.3012,-68.9679
Place_0062,Argentina,San Antonio de los Cobres,-24.3111,-67.3378
Place_0063,Chile,Coquimbo,-29.7612,-71.7982
Place_0064,Chile,Tocopilla,-22.0178,-71.2704
Place_0065,Bolivia,Challapata,-18.8497,-67.3072
Place_0066,Chile,San Pedro de Atacama,-22.0565,-67.2239
Place_0067,Chile,Copiapó,-27.6183,-69.1217
Place_0068,Argentina,Andalgalá,-27.917,-66.4262
Place_0069,Chile,Iquique,-19.2721,-69.2397
Place_0070,Argentina,San Antonio de los Cobres,-23.4241,-66.9724
Place_0071,Argentina,San Antonio de los Cobres,-24.1865,-66.9109
Place_0072,Argentina,San Antonio de los Cobres,-23.9719,-67.1961
Place_0073,Chile,Cañete,-37.9149,-73.6883
Place_0074,Chile,Cañete,-37.9155,-73.6133
Place_0075,Chile,Taltal,-24.7375,-69.5427
Place_0076,Chile,Calama,-22.4713,-69.482
Place_0077,Chile,Iquique,-20.351,-70.2971
Place_0078,Chile,La Ligua,-32.3764,-71.9183
Place_0079,Chile,Carahue,-38.8467,-73.6698
Place_0080,Chile,Vallenar,-27.8293,-71.0976
Place_0081,Chile,Longaví,-36.3264,-71.2306
Place_0082,Chile,Carahue,-38.831,-73.5269
Place_0083,Chile,Carahue,-38.8144,-73.5576
Place_0084,Argentina,San Antonio de los Cobres,-24.3298,-67.1812
Place_0085,Chile,Calama,-22.1747,-68.7834
Place_0086,Bolivia,Uyuni,-21.027,-67.6012
Place_0087,Chile,Los Andes,-32.72,-70.1864
Place_0088,Chile,Iquique,-20.5693,-69.0742
Place_0089,Chile,Talcahuano,-36.4867,-73.755
Place_0090,Chile,Illapel,-31.9409,-71.5512
Place_0091,Chile,Calama,-22.4852,-68.537
Place_0092,Bolivia,Uyuni,-21.2562,-67.5111
Place_0093,Chile,Calama,-21.4013,-68.8452
Place_0094,Argentina,San José de Jáchal,-29.9358,-68.7747
Place_0095,Chile,Calama,-23.2103,-69.119
Place_0096,Chile,Calama,-21.0771,-68.5434
Place_0097,Chile,Antofagasta,-23.9048,-70.7464
Place_0098,Chile,Calama,-21.205,-68.9033
Place_0099,Argentina,San Antonio de los Cobres,-24.0573,-66.7568
Place_0100,Argentina,San Martín,-33.6487,-67.6362
Place_0101,Chile,Iquique,-20.2944,-70.3835
Place_0102,Chile,Taltal,-24.7032,-68.84
Place_0103,Chile,Iquique,-20.9219,-68.7756
Place_0104,Argentina,El Aguilar,-23.1197,-66.5884
Place_0105,Chile,Teno,-34.9774,-71.0514
Place_0106,Argentina,Calingasta,-31.2685,-69.0364
Place_0107,Chile,Antofagasta,-23.8948,-69.4135
Place_0108,Chile,Arauco,-36.8458,-74.1843
Place_0109,Chile,Calama,-21.9625,-68.8394
Place_0110,Argentina,San Antonio de los Cobres,-24.2075,-67.288
Place_0111,Argentina,San Antonio de los Cobres,-24.0632,-67.0208
Place_0112,Argentina,San Antonio de los Cobres,-23.4727,-66.7049
Place_0113,Chile,Lebu,-37.5587,-73.7581
Place_0114,Argentina,Abra Pampa,-22.7927,-66.4923
Place_0115,Chile,Iquique,-20.9672,-70.3015
Place_0116,Bolivia,Atocha,-21.6184,-66.8242
Place_0117,Chile,Corral,-39.3023,-75.1724
Place_0118,Chile,Taltal,-25.9112,-70.8715
Place_0119,Argentina,San Antonio de los Cobres,-24.2285,-67.2619
Place_0120,Chile,Quillota,-32.8423,-71.2764
Place_0121,Chile,Diego de Almagro,-25.5342,-69.3148
Place_0122,Argentina,San Antonio de los Cobres,-24.1794,-67.4015
Place_0123,Chile,Iquique,-19.6714,-69.5008
Place_0124,Chile,Lautaro,-38.4005,-72.3864
Place_0125,Chile,San Clemente,-35.5095,-71.3732
Place_0126,Chile,San Antonio,-33.9898,-73.3434
Place_0127,Chile,Vallenar,-29.1954,-71.0909
Place_0128,Chile,Iquique,-20.3541,-70.0249
Place_0129,Peru,Palca,-18.2861,-69.5349
Place_0130,Chile,Calama,-21.5648,-68.5444
Place_0131,Chile,Arica,-19.2506,-69.7814
Place_0132,Chile,Vallenar,-28.6194,-71.3928
Place_0133,Argentina,San Antonio de los Cobres,-23.9028,-66.8782
Place_0134,Chile,Ovalle,-30.3459,-71.2693
Place_0135,Argentina,Abra Pampa,-22.3762,-66.2611
Place_0136,Bolivia,Atocha,-21.0804,-66.7336
Place_0137,Chile,Illapel,-31.329,-71.933
Place_0138,Chile,Iquique,-20.792,-69.2242
Place_0139,Chile,Iquique,-20.4465,-68.8109
Place_0140,Argentina,San Antonio de los Cobres,-24.3584,-67.3616
Place_0141,Chile,Constitución,-35.1751,-73.0036
Place_0142,Chile,San Pedro de Atacama,-23.7011,-68.6612
Place_0143,Chile,Calama,-21.1648,-68.6187
Place_0144,Argentina,San Antonio de los Cobres,-24.433,-67.2274
Place_0145,Chile,Aisen,-44.2337,-78.8949
Place_0146,Argentina,San Antonio de los Cobres,-24.0855,-66.806
Place_0147,Chile,Valparaíso,-32.6743,-71.9471
Place_0148,Chile,Puerto Chacabuco,-44.8951,-75.971
Place_0149,Argentina,San Antonio de los Cobres,-24.3249,-67.3499
Place_0150,Argentina,Villa Basilio Nievas,-31.5235,-68.8749
Place_0151,Chile,Calama,-22.0535,-68.666
Place_0152,Argentina,San Antonio de los Cobres,-24.161,-67.0943
Place_0153,Chile,Valparaíso,-33.2708,-71.7855
Place_0154,Chile,Chiguayante,-36.9471,-72.8077
Place_0155,Chile,Calama,-22.1469,-69.194
Place_0156,Peru,Palca,-17.92,-69.2653
Place_0157,Chile,Iquique,-20.2845,-70.2003
Place_0158,Argentina,San Antonio de los Cobres,-24.1106,-67.2159
Place_0159,Chile,Aisen,-45.652,-77.6608
Place_0160,Chile,Copiapó,-27.675,-71.2043
Place_0161,Chile,Illapel,-31.6525,-72.0135
Place_0162,Chile,Aisen,-45.6841,-77.0496
Place_0163,Chile,Aisen,-45.6844,-77.1037
Place_0164,Argentina,San Antonio de los Cobres,-24.098,-67.3282
Place_0165,Chile,Iquique,-20.1848,-70.5713
Place_0166,Chile,Calama,-21.2598,-68.4756
Place_0167,Argentina,San Antonio de los Cobres,-24.0999,-67.186
Place_0168,Argentina,El Calafate,-50.5227,-73.7844
Place_0169,Chile,Taltal,-26.0287,-71.1234
Place_0170,Argentina,San Antonio de los Cobres,-23.9635,-66.9745
Place_0171,Chile,Illapel,-31.6739,-72.0526
Place_0172,Chile,Illapel,-31.7062,-72.0418
Place_0173,Chile,Arauco,-36.8987,-74.0674
Place_0174,Argentina,Lago Puelo,-42.2774,-72.2325
Place_0175,Argentina,Antofagasta de la Sierra,-24.7206,-68.4705
Place_0176,Chile,Illapel,-31.6885,-71.9988
Place_0177,Argentina,San Antonio de los Cobres,-24.0274,-66.9955
Place_0178,Chile,Copiapó,-27.7977,-71.0573
Place_0179,Chile,Illapel,-31.6866,-72.1108
Place_0180,Chile,Antofagasta,-24.4289,-68.9088
Place_0181,Argentina,San Antonio de los Cobres,-24.1562,-67.3102
Place_0182,Chile,Copiapó,-27.5693,-71.0023
Place_0183,Chile,Iquique,-20.1174,-70.1057
Place_0184,Argentina,San Antonio de los Cobres,-24.5942,-67.8136
Place_0185,Argentina,El Calafate,-50.3221,-72.25
Place_0186,Chile,Coquimbo,-29.4024,-71.9359
Place_0187,Chile,Copiapó,-27.3176,-70.5912
Place_0188,Chile,San Pedro de Atacama,-22.4121,-67.3461
Place_0189,Argentina,El Aguilar,-23.1202,-66.8885
Place_0190,Chile,Calama,-21.7845,-68.4917
Place_0191,Argentina,San Antonio de los Cobres,-23.8673,-66.9453
Place_0192,Chile,Calama,-21.1144,-68.8606
Place_0193,Chile,Calama,-21.7881,-68.8155
Place_0194,Argentina,Ushuaia,-56.573,-69.1306
Place_0195,Argentina,San Antonio de los Cobres,-24.1732,-67.3213
Place_0196,Argentina,San Antonio de los Cobres,-23.9161,-66.7711
Place_0197,Chile,Copiapó,-27.5158,-70.9007
Place_0198,Chile,Calama,-21.5326,-69.0108
Place_0199,Chile,Aisen,-45.702,-77.687
Place_0200,Chile,Iquique,-20.4324,-69.9921
Place_0201,Bolivia,Poopó,-18.4403,-67.0782
Place_0202,Chile,Illapel,-31.7098,-72.1059
Place_0203,Chile,Illapel,-31.6899,-72.1095
Place_0204,Argentina,San Antonio de los Cobres,-24.2138,-67.341
Place_0205,Chile,Arauco,-36.9094,-74.1312
Place_0206,Chile,Iquique,-20.5104,-70.7746
Place_0207,Chile,Calama,-21.7021,-68.4015
Place_0208,Chile,Antofagasta,-24.2973,-70.2209
Place_0209,Argentina,San Antonio de los Cobres,-24.2322,-67.1469
Place_0210,Chile,Arica,-19.3262,-70.2808
Place_0211,Chile,Calama,-21.6553,-68.4474
Place_0212,Chile,Calama,-21.0565,-68.6749
Place_0213,Chile,Calama,-21.1202,-68.6848
Place_0214,Bolivia,Atocha,-21.5606,-66.5948
Place_0215,Argentina,San Martín,-33.1693,-68.1801
Place_0216,Chile,Iquique,-20.8811,-69.0273
Place_0217,Argentina,San Antonio de los Cobres,-24.0189,-66.7974
Place_0218,Argentina,San Antonio de los Cobres,-23.9514,-66.9665
Place_0219,Chile,Calama,-22.392,-68.6588
Place_0220,Chile,San Pedro de Atacama,-23.7447,-67.8228
Place_0221,Argentina,San Antonio de los Cobres,-24.2158,-67.1393
Place_0222,Chile,Ovalle,-30.723,-71.5157
Place_0223,Chile,Arauco,-36.8846,-74.1158
Place_0224,Chile,Tocopilla,-21.5248,-70.505
Place_0225,Chile,Coquimbo,-30.0052,-71.3745
Place_0226,Argentina,San Antonio de los Cobres,-23.9251,-66.9276
Place_0227,Argentina,San Antonio de los Cobres,-23.8424,-66.8659
Place_0228,Chile,Iquique,-20.426,-68.8028
Place_0229,Chile,Calama,-21.6001,-68.5342
Place_0230,Chile,Arauco,-36.8789,-74.1558
Place_0231,Chile,Arauco,-36.8596,-74.0674
Place_0232,Chile,Arauco,-36.8298,-74.1442
Place_0233,Chile,Cañete,-38.1537,-73.7896
Place_0234,Chile,Arica,-18.6075,-69.2144
Place_0235,Chile,Arauco,-36.7846,-74.0312
